metrica,tipo_operacion,variacion_medida
57,AND,1.0
38,OR,8.142857142857142
57,OR,8.142857142857142
135,AND,11.685714285714285
355,AND,11.685714285714285
135,OR,32.22857142857143
355,OR,32.22857142857143
88,AND,30.52857142857143
140,AND,30.52857142857143
88,OR,40.3
140,OR,40.3
121,AND,13.428571428571429
130,AND,13.428571428571429
121,OR,23.485714285714284
130,OR,23.485714285714284
298,AND,1.0
249,AND,1.0
298,OR,32.285714285714285
249,OR,32.285714285714285
39,AND,6.514285714285714
84,AND,6.514285714285714
39,OR,8.142857142857142
84,OR,8.142857142857142
304,AND,18.0
298,AND,18.0
304,OR,25.52857142857143
298,OR,25.52857142857143
143,AND,8.785714285714286
345,AND,8.785714285714286
143,OR,20.1
345,OR,20.1
142,AND,11.257142857142858
146,AND,11.257142857142858
142,OR,26.7
146,OR,26.7
187,AND,11.657142857142857
59,AND,11.657142857142857
187,OR,8.428571428571429
59,OR,8.428571428571429
242,AND,18.82857142857143
99,AND,18.82857142857143
242,OR,32.6
99,OR,32.6
174,AND,2.4
282,AND,2.4
174,OR,33.52857142857143
282,OR,33.52857142857143
328,AND,26.757142857142856
189,AND,26.757142857142856
328,OR,35.48571428571429
189,OR,35.48571428571429
271,AND,1.0
307,AND,1.0
271,OR,29.414285714285715
307,OR,29.414285714285715
194,AND,2.0
312,AND,2.0
194,OR,32.74285714285714
312,OR,32.74285714285714
295,AND,1.0
238,AND,1.0
295,OR,31.17142857142857
238,OR,31.17142857142857
252,AND,1.0
197,AND,1.0
252,OR,22.142857142857142
197,OR,22.142857142857142
176,AND,22.071428571428573
53,AND,22.071428571428573
176,OR,24.742857142857144
53,OR,24.742857142857144
308,AND,1.0
353,AND,1.0
308,OR,37.97142857142857
353,OR,37.97142857142857
130,AND,7.042857142857143
133,AND,7.042857142857143
130,OR,12.4
133,OR,12.4
134,AND,1.0
290,AND,1.0
134,OR,26.47142857142857
290,OR,26.47142857142857
81,AND,10.571428571428571
182,AND,10.571428571428571
81,OR,18.085714285714285
182,OR,18.085714285714285
120,AND,5.0
217,AND,5.0
120,OR,37.542857142857144
217,OR,37.542857142857144
234,AND,8.857142857142858
130,AND,8.857142857142858
234,OR,34.55714285714286
130,OR,34.55714285714286
79,AND,16.357142857142858
315,AND,16.357142857142858
79,OR,29.84285714285714
315,OR,29.84285714285714
289,AND,3.2142857142857144
54,AND,3.2142857142857144
289,OR,22.12857142857143
54,OR,22.12857142857143
308,AND,12.528571428571428
89,AND,12.528571428571428
308,OR,30.97142857142857
89,OR,30.97142857142857
211,AND,9.485714285714286
